ARCH	EPOCHS	REG	LAMB	ALPHA	FT	ID	optionals	Acc	Loss	Time	Nodes	Pruned_arch
2x50	50.0	spr	0.1	0.1	10.0	10000.0		97.81	0.0021310802549123764	13.85172700881958	6645.0	"2x50
"
2x50	50.0	spr	0.1	0.1	10.0	10000.0		97.71	0.008222629316151142	4.838488817214966	4774.0	"1x46-1x50
"
2x50	50.0	spr	0.1	0.1	10.0	10000.0		97.52	0.00818426813930273	7.550107955932617	7080.0	"1x48-1x50
"
2x50	50.0	spr	0.1	0.5	10.0	10000.0		97.7	0.002470306819304824	9.222419023513794	11411.0	"1x44-1x50
"
2x50	50.0	spr	0.1	0.5	10.0	10000.0		97.61	0.012731167487800121	3.17166805267334	5319.0	"1x43-1x50
"
2x50	50.0	spr	0.1	0.5	10.0	10000.0		97.55	0.023991243913769722	6.544924974441528	3332.0	"1x45-1x50
"
2x50	50.0	spr	0.1	0.9	10.0	10000.0		97.69	0.1608063131570816	14.275557041168213	5996.0	"1x46-1x50
"
2x50	50.0	spr	0.1	0.9	10.0	10000.0		97.88	0.0057505290023982525	4.977452039718628	6279.0	"1x49-1x50
"
2x50	50.0	spr	0.1	0.9	10.0	10000.0		97.62	0.020454859361052513	4.545660972595215	6479.0	"2x50
"
2x50	50.0	spr	0.5	0.1	10.0	10000.0		97.57	0.036917660385370255	5.030086040496826	7592.0	"1x36-1x43
"
2x50	50.0	spr	0.5	0.1	10.0	10000.0		97.41	0.005758089944720268	1.7944860458374023	2051.0	"1x32-1x41
"
2x50	50.0	spr	0.5	0.1	10.0	10000.0		97.26	0.0246281698346138	1.139660120010376	1173.0	"1x29-1x42
"
2x50	50.0	spr	0.5	0.5	10.0	10000.0		96.89	0.047396499663591385	1.4865410327911377	3007.0	"1x19-1x42
"
2x50	50.0	spr	0.5	0.5	10.0	10000.0		96.94	0.019780782982707024	0.8811721801757812	1040.0	"1x21-1x40
"
2x50	50.0	spr	0.5	0.5	10.0	10000.0		96.55	0.16171564161777496	0.8666291236877441	544.0	"1x20-1x41
"
2x50	50.0	spr	0.5	0.9	10.0	10000.0		97.77	0.017686404287815094	3.288219928741455	3328.0	"1x39-1x43
"
2x50	50.0	spr	0.5	0.9	10.0	10000.0		97.49	0.07492286711931229	3.9304721355438232	6482.0	"1x30-1x42
"
2x50	50.0	spr	0.5	0.9	10.0	10000.0		97.73	0.04267968237400055	1.9647610187530518	3992.0	"1x39-1x42
"
2x50	50.0	spr	1.0	0.1	10.0	10000.0		96.38	0.14207927882671356	1.2011821269989014	1544.0	"1x16-1x41
"
2x50	50.0	spr	1.0	0.1	10.0	10000.0		96.6	0.04428510367870331	0.7181861400604248	82.0	"1x19-1x37
"
2x50	50.0	spr	1.0	0.1	10.0	10000.0		96.19	0.12897181510925293	0.6092009544372559	91.0	"1x17-1x39
"
2x50	50.0	spr	1.0	0.5	10.0	10000.0		95.45	0.2676590383052826	0.4236311912536621	997.0	"1x11-1x37
"
2x50	50.0	spr	1.0	0.5	10.0	10000.0		95.94	0.03856135532259941	0.6263601779937744	344.0	"1x12-1x34
"
