ARCH	EPOCHS	REG	LAMB	ALPHA	FT	ID	DELTA	optionals	Acc	Loss	Time	Nodes	Pruned_arch
2x15	50.0	spr	0.1	0.1	10.0	10000.0	20		95.87	0.015142612159252167	0.2369999885559082	1.0	"2x15
"
2x15	50.0	spr	0.1	0.1	10.0	10000.0	20		95.82	0.04810880497097969	0.21841001510620117	1.0	"1x13-1x15
"
2x15	50.0	spr	0.1	0.1	10.0	10000.0	20		95.32	0.15840290486812592	0.1981971263885498	1.0	"1x13-1x15
"
2x15	50.0	spr	0.1	0.5	10.0	10000.0	20		96.05	0.04660062864422798	0.39519691467285156	287.0	"1x13-1x15
"
2x15	50.0	spr	0.1	0.5	10.0	10000.0	20		96.19	0.1950472742319107	0.17445898056030273	1.0	"2x15
"
2x15	50.0	spr	0.1	0.5	10.0	10000.0	20		94.95	0.19377052783966064	0.14489293098449707	1.0	"1x14-1x15
"
2x15	50.0	spr	0.1	0.9	10.0	10000.0	20		96.14	0.07217161357402802	0.18059492111206055	1.0	"2x15
"
2x15	50.0	spr	0.1	0.9	10.0	10000.0	20		96.41	0.03672081604599953	0.21334004402160645	1.0	"2x15
"
2x15	50.0	spr	0.1	0.9	10.0	10000.0	20		95.71	0.16058911383152008	0.16050195693969727	1.0	"2x15
"
2x15	50.0	spr	0.5	0.1	10.0	10000.0	20		95.86	0.07102034240961075	0.19782614707946777	1.0	"2x15
"
2x15	50.0	spr	0.5	0.1	10.0	10000.0	20		95.9	0.04520690441131592	0.14861488342285156	1.0	"1x15-1x13
"
2x15	50.0	spr	0.5	0.1	10.0	10000.0	20		95.77	0.07784310728311539	0.14477300643920898	1.0	"1x15-1x13
"
2x15	50.0	spr	0.5	0.5	10.0	10000.0	20		95.81	0.07692698389291763	0.18357014656066895	1.0	"2x15
"
2x15	50.0	spr	0.5	0.5	10.0	10000.0	20		95.6	0.08789034932851791	0.19786405563354492	1.0	"1x15-1x13
"
2x15	50.0	spr	0.5	0.5	10.0	10000.0	20		95.65	0.13691216707229614	0.15004587173461914	1.0	"1x15-1x14
"
2x15	50.0	spr	0.5	0.9	10.0	10000.0	20		94.38	0.1896209567785263	0.1244819164276123	1.0	"1x11-1x14
"
2x15	50.0	spr	0.5	0.9	10.0	10000.0	20		95.32	0.04713353514671326	0.1731719970703125	1.0	"1x12-1x15
"
2x15	50.0	spr	0.5	0.9	10.0	10000.0	20		94.34	0.16327126324176788	0.14656305313110352	1.0	"1x11-1x14
"
2x15	50.0	spr	1.0	0.1	10.0	10000.0	20		95.78	0.12816393375396729	0.19353389739990234	1.0	"1x15-1x14
"
2x15	50.0	spr	1.0	0.1	10.0	10000.0	20		95.81	0.1240130364894867	0.19897794723510742	1.0	"2x13
"
2x15	50.0	spr	1.0	0.1	10.0	10000.0	20		95.99	0.13771571218967438	0.16801095008850098	1.0	"1x15-1x13
"
2x15	50.0	spr	1.0	0.5	10.0	10000.0	20		95.58	0.15922397375106812	0.14469599723815918	1.0	"1x14-1x13
"
2x15	50.0	spr	1.0	0.5	10.0	10000.0	20		95.86	0.1845768243074417	0.06674909591674805	1.0	"1x14-1x12
"
2x15	50.0	spr	1.0	0.5	10.0	10000.0	20		95.44	0.12067237496376038	0.16245794296264648	1.0	"2x14
"
2x15	50.0	spr	1.0	0.9	10.0	10000.0	20		93.98	0.12536700069904327	0.12665796279907227	1.0	"1x8-1x14
"
2x15	50.0	spr	1.0	0.9	10.0	10000.0	20		92.98	0.3517273962497711	0.21561884880065918	58.0	"1x7-1x12
"
2x15	50.0	spr	1.0	0.9	10.0	10000.0	20		93.07	0.1689847856760025	0.12498688697814941	1.0	"1x9-1x14
"
